0,0
"1/100",0.08457768007680504
"1/50",0.16673069687551034
"3/100",0.2316044756118401
"1/25",0.28450827759858005
"1/20",0.32947342319650436
"3/50",0.3679471534780996
"7/100",0.4014455752746719
"2/25",0.4314233644319341
"9/100",0.4591888411210524
"1/10",0.4832394091053119
"11/100",0.5062847698203625
"3/25",0.5267107197819234
"13/100",0.5468692584588214
"7/50",0.5641307032837931
"3/20",0.5813921481087647
"4/25",0.5974368616267293
"17/100",0.6119532129176489
"9/50",0.6264695642085684
"19/100",0.6403653185256016
"1/5",0.6525114028616028
"21/100",0.664657487197604
"11/50",0.6768035715336052
"23/100",0.688072398919091
"6/25",0.6981774147859166
"1/4",0.7082824306527422
"13/50",0.7183874465195678
"27/100",0.7284924623863933
"7/25",0.7371672212652809
"29/100",0.7455154184170328
"3/10",0.7538636155687848
"31/100",0.7622118127205367
"8/25",0.7705600098722887
"33/100",0.7785224317539714
"17/50",0.7853548623782183
"7/20",0.7921872930024652
"9/25",0.799019723626712
"37/100",0.805852154250959
"19/50",0.8126845848752059
"39/100",0.8195170154994528
"2/5",0.8256149474620161
"41/100",0.8311309292850482
"21/50",0.8366469111080802
"43/100",0.8421628929311124
"11/25",0.8476788747541444
"9/20",0.8531948565771764
"23/50",0.8587108384002085
"47/100",0.8642268202232405
"12/25",0.8691728281408935
"49/100",0.8735300870858992
"1/2",0.8778873460309048
"51/100",0.8822446049759104
"13/25",0.8866018639209161
"53/100",0.8909591228659217
"27/50",0.8953163818109273
"11/20",0.8996736407559329
"14/25",0.9040308997009386
"57/100",0.9083881586459442
"29/50",0.9119326297108152
"59/100",0.9152429179303069
"3/5",0.9185532061497984
"61/100",0.9218634943692899
"31/50",0.9251737825887816
"63/100",0.9284840708082731
"16/25",0.9317943590277646
"13/20",0.9351046472472563
"33/50",0.9384149354667478
"67/100",0.9417252236862393
"17/25",0.945035511905731
"69/100",0.9482718303113529
"7/10",0.9505808887169593
"71/100",0.9528899471225658
"18/25",0.9551990055281722
"73/100",0.9575080639337786
"37/50",0.9598171223393851
"3/4",0.9621261807449915
"19/25",0.9644352391505979
"77/100",0.9667442975562044
"39/50",0.9690533559618107
"79/100",0.9713624143674172
"4/5",0.9736714727730237
"81/100",0.97598053117863
"41/50",0.9782895895842365
"83/100",0.9805986479898429
"21/25",0.9817638473137799
"17/20",0.9829036064110943
"43/50",0.9840433655084087
"87/100",0.9851831246057231
"22/25",0.9863228837030376
"89/100",0.987462642800352
"9/10",0.9886024018976663
"91/100",0.9897421609949808
"23/25",0.9908819200922953
"93/100",0.9920216791896097
"47/50",0.993161438286924
"19/20",0.9943011973842385
"24/25",0.995440956481553
"97/100",0.9965807155788674
"49/50",0.9977204746761817
"99/100",0.9988602337734962
1,0.9999999928708107
